Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,"270,68 ", 1 481 ,  119 ,  124 ,  98 ,  167 ,  95 ,  99 ,  103 ,  88 ,  168 ,  135 ,  133 ,  152
Baja California ,"310,15 ", 4 977 ,  354 ,  366 ,  353 ,  520 ,  348 ,  384 ,  517 ,  365 ,  531 ,  406 ,  398 ,  435
Baja California Sur ,"385,88 ", 1 114 ,  72 ,  89 ,  70 ,  110 ,  85 ,  88 ,  123 ,  93 ,  88 ,  105 ,  89 ,  102
Campeche ,"180,00 ",  702 ,  63 ,  39 ,  42 ,  76 ,  50 ,  38 ,  48 ,  62 ,  80 ,  53 ,  63 ,  88
Coahuila ,"408,41 ", 5 314 ,  394 ,  479 ,  394 ,  558 ,  409 ,  415 ,  494 ,  334 ,  484 ,  416 ,  399 ,  538
Colima ,"355,71 ", 1 059 ,  68 ,  73 ,  87 ,  138 ,  77 ,  82 ,  89 ,  72 ,  103 ,  81 ,  78 ,  111
Chiapas ,"193,63 ", 4 250 ,  301 ,  336 ,  326 ,  447 ,  388 ,  363 ,  410 ,  316 ,  355 ,  317 ,  319 ,  372
Chihuahua ,"381,47 ", 6 519 ,  475 ,  505 ,  471 ,  698 ,  503 ,  548 ,  594 ,  438 ,  547 ,  485 ,  532 ,  723
Distrito Federal ,"332,78 ", 14 216 , 1 062 , 1 163 , 1 177 , 1 590 , 1 156 , 1 216 , 1 225 ,  996 , 1 251 ,  960 ,  980 , 1 440
Durango ,"333,09 ", 2 532 ,  222 ,  215 ,  187 ,  269 ,  178 ,  194 ,  247 ,  197 ,  213 ,  198 ,  187 ,  225
Guanajuato ,"249,58 ", 5 976 ,  423 ,  533 ,  531 ,  594 ,  469 ,  498 ,  552 ,  405 ,  484 ,  484 ,  449 ,  554
Guerrero ,"340,73 ", 5 171 ,  435 ,  486 ,  439 ,  527 ,  377 ,  422 ,  475 ,  341 ,  483 ,  340 ,  351 ,  495
Hidalgo ,"237,18 ", 2 746 ,  181 ,  214 ,  183 ,  309 ,  213 ,  251 ,  290 ,  190 ,  228 ,  230 ,  190 ,  267
Jalisco ,"406,45 ", 13 930 , 1 077 , 1 197 , 1 158 , 1 526 , 1 059 , 1 191 , 1 306 ,  938 , 1 147 ,  983 ,  994 , 1 354
México ,"274,48 ", 20 037 , 1 408 , 1 642 , 1 555 , 2 073 , 1 495 , 1 540 , 1 849 , 1 471 , 1 738 , 1 618 , 1 631 , 2 017
Michoacán ,"266,39 ", 5 084 ,  418 ,  350 ,  386 ,  524 ,  371 ,  398 ,  441 ,  355 ,  474 ,  386 ,  440 ,  541
Morelos ,"532,63 ", 4 324 ,  292 ,  340 ,  363 ,  373 ,  322 ,  273 ,  420 ,  304 ,  487 ,  380 ,  376 ,  394
Nayarit ,"294,09 ", 1 414 ,  168 ,  135 ,  85 ,  153 ,  104 ,  101 ,  117 ,  94 ,  137 ,  121 ,  94 ,  105
Nuevo León ,"294,36 ", 6 507 ,  453 ,  594 ,  499 ,  783 ,  487 ,  472 ,  556 ,  476 ,  517 ,  477 ,  453 ,  740
Oaxaca ,"272,04 ", 4 616 ,  393 ,  353 ,  330 ,  462 ,  331 ,  368 ,  462 ,  349 ,  456 ,  315 ,  377 ,  420
Puebla ,"276,69 ", 7 469 ,  572 ,  574 ,  533 ,  857 ,  492 ,  596 ,  746 ,  596 ,  651 ,  549 ,  513 ,  790
Querétaro ,"199,33 ", 1 649 ,  144 ,  101 ,  130 ,  190 ,  127 ,  139 ,  160 ,  109 ,  134 ,  119 ,  119 ,  177
Quintana Roo ,"185,79 ", 1 189 ,  103 ,  81 ,  114 ,  128 ,  87 ,  89 ,  118 ,  81 ,  118 ,  76 ,  79 ,  115
San Luis Potosí ,"328,25 ", 3 939 ,  312 ,  328 ,  295 ,  411 ,  313 ,  321 ,  352 ,  325 ,  344 ,  309 ,  271 ,  358
Sinaloa ,"466,78 ", 6 224 ,  443 ,  535 ,  455 ,  666 ,  487 ,  474 ,  573 ,  476 ,  553 ,  513 ,  476 ,  573
Sonora ,"271,79 ", 3 428 ,  310 ,  299 ,  256 ,  364 ,  247 ,  239 ,  299 ,  247 ,  321 ,  278 ,  265 ,  303
Tabasco ,"323,39 ", 3 250 ,  188 ,  250 ,  214 ,  347 ,  317 ,  345 ,  307 ,  201 ,  326 ,  270 ,  243 ,  242
Tamaulipas ,"309,23 ", 4 882 ,  362 ,  362 ,  337 ,  471 ,  390 ,  399 ,  450 ,  394 ,  465 ,  423 ,  417 ,  412
Tlaxcala ,"298,31 ", 1 622 ,  117 ,  102 ,  117 ,  168 ,  108 ,  104 ,  134 ,  139 ,  166 ,  109 ,  163 ,  195
Veracruz ,"231,41 ", 8 087 ,  610 ,  638 ,  551 ,  822 ,  654 ,  701 ,  843 ,  596 ,  725 ,  619 ,  589 ,  739
Yucatán ,"385,79 ", 3 641 ,  289 ,  275 ,  276 ,  343 ,  250 ,  297 ,  366 ,  260 ,  316 ,  284 ,  276 ,  409
Zacatecas ,"245,84 ", 1 643 ,  106 ,  129 ,  102 ,  181 ,  111 ,  148 ,  156 ,  102 ,  159 ,  133 ,  131 ,  185
TOTAL GLOBAL ,"303,04 ", 158 992 , 11 934 , 12 907 , 12 114 , 16 845 , 12 100 , 12 793 , 14 822 , 11 410 , 14 249 , 12 172 , 12 075 , 15 571
