Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,319.44 , 3 534 ,  528 ,  368 ,  281 ,  319 ,  342 ,  238 ,  329 ,  169 ,  238 ,  263 ,  226 ,  233
Baja California ,382.20 , 11 441 , 1 103 , 1 013 ,  951 , 1 113 ,  961 ,  907 , 1 030 ,  904 ,  926 , 1 051 ,  858 ,  624
Baja California Sur ,452.02 , 2 430 ,  159 ,  245 ,  199 ,  240 ,  191 ,  194 ,  251 ,  199 ,  212 ,  217 ,  163 ,  160
Campeche ,329.13 , 2 559 ,  363 ,  226 ,  216 ,  257 ,  214 ,  198 ,  217 ,  158 ,  179 ,  231 ,  166 ,  134
Coahuila ,541.85 , 13 947 , 1 418 , 1 139 , 1 351 , 1 512 , 1 069 , 1 127 , 1 234 , 1 061 , 1 056 , 1 242 ,  962 ,  776
Colima ,401.24 , 2 349 ,  196 ,  157 ,  240 ,  239 ,  195 ,  197 ,  223 ,  207 ,  181 ,  243 ,  152 ,  119
Chiapas ,289.97 , 12 793 ,  961 , 1 080 , 1 054 , 1 421 ,  938 , 1 126 , 1 442 , 1 140 ,  971 , 1 044 ,  885 ,  731
Chihuahua ,462.20 , 15 377 , 1 199 , 1 222 , 1 191 , 1 414 , 1 169 , 1 206 , 1 437 , 1 311 , 1 294 , 1 588 , 1 221 , 1 125
Distrito Federal ,444.58 , 39 254 , 3 674 , 3 298 , 3 241 , 3 987 , 3 047 , 3 385 , 3 836 , 2 949 , 3 238 , 3 494 , 2 794 , 2 311
Durango ,467.22 , 7 187 ,  727 ,  592 ,  581 ,  628 ,  656 ,  567 ,  670 ,  524 ,  503 ,  678 ,  577 ,  484
Guanajuato ,296.68 , 14 820 , 1 696 , 1 355 , 1 388 , 1 541 , 1 207 , 1 320 , 1 250 , 1 048 , 1 136 , 1 308 ,  891 ,  680
Guerrero ,446.99 , 14 079 , 1 074 ,  994 , 1 006 , 1 434 , 1 239 , 1 129 , 1 370 , 1 056 , 1 158 , 1 424 , 1 254 ,  941
Hidalgo ,266.96 , 6 397 ,  490 ,  513 ,  530 ,  652 ,  507 ,  545 ,  641 ,  575 ,  562 ,  567 ,  452 ,  363
Jalisco ,490.37 , 33 851 , 2 743 , 2 709 , 2 895 , 3 310 , 2 760 , 2 687 , 3 246 , 2 672 , 2 729 , 3 364 , 2 564 , 2 172
