Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes , 1 780 , 1 809 ,  113 ,  0 ,  26 ,  0 ,  103 ,  0 ,  668 , 4 499
Baja California , 4 221 , 7 362 ,  875 ,  65 ,  0 ,  0 ,  56 ,  0 ,  960 , 13 539
Baja California Sur , 1 042 ,  775 ,  119 ,  0 ,  0 ,  0 ,  41 ,  4 ,  0 , 1 981
Campeche , 1 133 ,  505 ,  307 ,  148 ,  23 ,  1 ,  41 ,  25 ,  17 , 2 200
Coahuila , 1 609 , 7 517 , 4 792 ,  279 ,  153 ,  0 ,  65 ,  0 , 1 259 , 15 674
Colima ,  857 , 1 067 ,  42 ,  0 ,  0 ,  0 ,  25 ,  1 ,  39 , 2 031
Chiapas , 4 365 , 2 717 , 1 788 ,  977 ,  0 ,  109 ,  329 ,  4 ,  298 , 10 587
Chihuahua , 2 929 , 6 438 ,  730 ,  176 ,  0 ,  0 ,  36 ,  0 , 2 788 , 13 097
Distrito Federal , 16 120 , 7 834 , 13 975 ,  0 ,  288 ,  138 ,  735 ,  106 ,  746 , 39 942
Durango , 1 482 , 3 469 , 3 217 ,  339 ,  0 ,  0 ,  11 ,  0 ,  156 , 8 674
Guanajuato , 9 697 , 7 781 , 1 230 ,  31 ,  0 ,  31 ,  19 ,  0 ,  656 , 19 445
Guerrero , 7 103 , 3 725 , 2 184 ,  89 ,  0 ,  0 ,  22 ,  80 ,  10 , 13 213
Hidalgo , 3 260 , 1 351 ,  742 ,  476 ,  0 ,  131 ,  50 ,  0 ,  80 , 6 090
Jalisco , 7 563 , 16 804 , 1 790 ,  18 ,  281 ,  15 ,  185 ,  4 , 8 446 , 35 106
México , 15 747 , 16 873 , 4 511 ,  44 , 4 479 ,  0 ,  642 ,  0 , 3 691 , 45 987
Michoacán , 4 265 , 3 196 , 2 434 ,  949 ,  0 ,  0 ,  90 ,  8 ,  0 , 10 942
Morelos , 2 826 , 4 224 , 3 274 ,  6 ,  0 ,  0 ,  389 ,  0 ,  0 , 10 719
Nayarit , 1 481 ,  873 , 1 153 ,  98 ,  240 ,  0 ,  1 ,  3 ,  13 , 3 862
Nuevo León , 2 852 , 6 398 ,  454 ,  11 ,  0 ,  41 ,  105 ,  0 , 4 562 , 14 423
Oaxaca , 5 441 , 2 322 , 2 107 , 1 252 ,  61 ,  117 ,  191 ,  57 ,  142 , 11 690
Puebla , 4 554 , 8 756 , 2 220 , 1 004 ,  228 ,  29 ,  42 ,  0 , 1 353 , 18 186
Querétaro , 1 784 , 2 119 ,  233 ,  13 ,  23 ,  0 ,  0 ,  0 ,  132 , 4 304
Quintana Roo ,  766 ,  717 ,  280 ,  0 ,  0 ,  0 ,  38 ,  8 ,  0 , 1 809
San Luis Potosí , 3 774 , 4 657 ,  988 ,  694 ,  0 ,  6 ,  263 ,  0 ,  327 , 10 709
Sinaloa , 6 295 , 4 524 ,  549 ,  155 ,  484 ,  6 ,  358 ,  17 , 1 084 , 13 472
Sonora , 2 244 , 4 375 ,  415 ,  98 ,  0 ,  0 ,  185 ,  62 ,  184 , 7 563
Tabasco , 3 773 , 1 656 ,  440 ,  0 ,  0 ,  256 ,  111 ,  27 ,  645 , 6 908
Tamaulipas , 5 331 , 6 635 , 1 376 ,  293 ,  57 ,  178 ,  50 ,  18 ,  133 , 14 071
Tlaxcala , 1 400 , 1 128 ,  537 ,  5 ,  4 ,  0 ,  24 ,  0 ,  4 , 3 102
Veracruz , 8 968 , 5 468 ,  480 , 1 765 ,  438 ,  523 ,  174 ,  237 ,  0 , 18 053
Yucatán , 2 255 , 3 750 , 1 175 ,  894 ,  10 ,  0 ,  2 ,  2 ,  521 , 8 609
Zacatecas , 1 722 , 1 028 ,  425 ,  483 ,  207 ,  0 ,  2 ,  0 ,  6 , 3 873
TOTAL GLOBAL , 138 639 , 147 853 , 54 955 , 10 362 , 7 002 , 1 581 , 4 385 ,  663 , 28 920 , 394 360
