Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,  563 ,  711 ,  62 ,  0 ,  10 ,  0 ,  43 ,  0 ,  309 , 1 698
Baja California , 1 659 , 2 993 ,  359 ,  23 ,  0 ,  0 ,  18 ,  0 ,  382 , 5 434
Baja California Sur ,  433 ,  347 ,  50 ,  0 ,  0 ,  0 ,  15 ,  2 ,  0 ,  847
Campeche ,  356 ,  212 ,  129 ,  49 ,  5 ,  0 ,  10 ,  10 ,  6 ,  777
Coahuila ,  538 , 2 944 , 2 088 ,  108 ,  81 ,  0 ,  27 ,  0 ,  490 , 6 276
Colima ,  356 ,  423 ,  11 ,  0 ,  0 ,  0 ,  13 ,  1 ,  23 ,  827
Chiapas , 1 368 , 1 052 ,  800 ,  257 ,  0 ,  59 ,  153 ,  1 ,  106 , 3 796
Chihuahua , 1 047 , 2 411 ,  336 ,  68 ,  0 ,  0 ,  15 ,  0 , 1 029 , 4 906
Distrito Federal , 5 868 , 3 386 , 5 934 ,  0 ,  116 ,  70 ,  336 ,  41 ,  345 , 16 096
Durango ,  504 , 1 296 , 1 452 ,  133 ,  0 ,  0 ,  3 ,  0 ,  70 , 3 458
Guanajuato , 3 242 , 3 216 ,  550 ,  5 ,  0 ,  18 ,  5 ,  0 ,  268 , 7 304
Guerrero , 2 474 , 1 518 ,  970 ,  25 ,  0 ,  0 ,  9 ,  27 ,  5 , 5 028
Hidalgo , 1 074 ,  626 ,  319 ,  160 ,  0 ,  76 ,  22 ,  0 ,  37 , 2 314
Jalisco , 2 673 , 7 202 ,  738 ,  5 ,  69 ,  7 ,  87 ,  4 , 3 283 , 14 068
México , 5 207 , 6 819 , 1 957 ,  16 , 1 575 ,  0 ,  243 ,  0 , 1 917 , 17 734
Michoacán , 1 557 , 1 378 ,  966 ,  308 ,  0 ,  0 ,  26 ,  1 ,  0 , 4 236
Morelos , 1 062 , 1 590 , 1 582 ,  3 ,  0 ,  0 ,  202 ,  0 ,  0 , 4 439
Nayarit ,  550 ,  389 ,  441 ,  47 ,  107 ,  0 ,  1 ,  0 ,  7 , 1 542
Nuevo León ,  963 , 2 719 ,  217 ,  5 ,  0 ,  25 ,  50 ,  0 , 1 917 , 5 896
Oaxaca , 1 757 ,  947 ,  985 ,  401 ,  15 ,  57 ,  47 ,  19 ,  57 , 4 285
Puebla , 1 480 , 3 430 ,  940 ,  303 ,  80 ,  12 ,  20 ,  0 ,  570 , 6 835
Querétaro ,  614 ,  890 ,  114 ,  3 ,  10 ,  0 ,  0 ,  0 ,  46 , 1 677
Quintana Roo ,  264 ,  343 ,  152 ,  0 ,  0 ,  0 ,  11 ,  1 ,  0 ,  771
San Luis Potosí , 1 307 , 1 828 ,  413 ,  235 ,  0 ,  5 ,  121 ,  0 ,  108 , 4 017
Sinaloa , 2 404 , 1 992 ,  227 ,  51 ,  211 ,  3 ,  175 ,  5 ,  483 , 5 551
Sonora ,  739 , 1 759 ,  163 ,  13 ,  0 ,  0 ,  65 ,  6 ,  100 , 2 845
Tabasco , 1 244 ,  724 ,  200 ,  0 ,  0 ,  131 ,  39 ,  4 ,  298 , 2 640
Tamaulipas , 1 740 , 2 708 ,  572 ,  109 ,  16 ,  86 ,  19 ,  5 ,  53 , 5 308
Tlaxcala ,  489 ,  480 ,  262 ,  1 ,  2 ,  0 ,  13 ,  0 ,  4 , 1 251
Veracruz , 2 836 , 2 234 ,  228 ,  525 ,  128 ,  233 ,  37 ,  67 ,  0 , 6 288
Yucatán ,  672 , 1 430 ,  486 ,  227 ,  1 ,  0 ,  2 ,  0 ,  408 , 3 226
Zacatecas ,  638 ,  404 ,  195 ,  154 ,  71 ,  0 ,  2 ,  0 ,  2 , 1 466
TOTAL GLOBAL , 47 678 , 60 401 , 23 898 , 3 234 , 2 497 ,  782 , 1 829 ,  194 , 12 323 , 152 836
