Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes , 1 636 ,  977 ,  167 ,N.A. ,  16 ,N.A. ,  179 ,N.A. ,  559 , 3 534
Baja California , 3 983 , 5 912 ,  576 ,  64 ,N.A. ,N.A. ,  98 ,  2 ,  806 , 11 441
Baja California Sur , 1 082 , 1 070 ,  266 ,N.A. ,N.A. ,N.A. ,  8 ,  4 ,N.A. , 2 430
Campeche , 1 182 ,  890 ,  263 ,  165 ,  22 ,  2 ,  4 ,  24 ,  7 , 2 559
Coahuila , 1 374 , 7 504 , 2 925 ,  347 ,  151 ,N.A. ,  44 ,N.A. , 1 602 , 13 947
Colima ,  936 , 1 190 ,  37 ,N.A. ,  8 ,N.A. ,  15 ,  80 ,  83 , 2 349
Chiapas , 5 039 , 4 135 , 2 075 ,  915 ,N.A. ,  113 ,  108 ,  1 ,  407 , 12 793
Chihuahua , 3 258 , 7 791 ,  743 ,  156 ,N.A. ,N.A. ,  170 ,N.A. , 3 259 , 15 377
Distrito Federal , 15 322 , 8 843 , 11 600 ,  177 ,  288 ,  93 , 1 389 ,  227 , 1 315 , 39 254
Durango , 1 210 , 3 524 , 1 789 ,  386 ,  0 ,N.A. ,  52 ,N.A. ,  226 , 7 187
Guanajuato , 7 087 , 6 066 ,  867 ,  24 ,N.A. ,  31 ,  61 ,N.A. ,  684 , 14 820
Guerrero , 6 969 , 4 745 , 2 188 ,  42 ,N.A. ,N.A. ,  132 ,  3 ,  0 , 14 079
Hidalgo , 3 135 , 1 477 ,  985 ,  448 ,  0 ,  120 ,  22 ,N.A. ,  210 , 6 397
Jalisco , 8 613 , 12 398 , 3 021 ,  19 ,  272 ,  8 ,  114 ,  25 , 9 381 , 33 851
México , 18 529 , 16 766 , 3 333 ,  11 , 6 127 ,N.A. ,  757 ,N.A. , 4 209 , 49 732
Michoacán , 3 786 , 3 415 , 4 405 , 1 019 ,N.A. ,N.A. ,  0 ,  34 ,N.A. , 12 659
Morelos , 2 649 , 5 235 , 3 300 ,  4 ,N.A. ,N.A. ,  273 ,N.A. ,N.A. , 11 461
Nayarit , 1 481 ,  507 , 1 307 ,  145 ,  168 ,N.A. ,  0 ,  2 ,  35 , 3 645
Nuevo León , 3 092 , 7 565 ,  277 ,  7 ,  1 ,  51 ,  104 ,N.A. , 5 178 , 16 275
Oaxaca , 5 113 , 2 172 , 2 653 , 1 432 ,  126 ,  112 ,  120 ,  72 ,  113 , 11 913
Puebla , 4 054 , 7 376 , 2 795 ,  923 ,  164 ,  9 ,  17 ,N.A. , 1 315 , 16 653
Querétaro , 1 712 , 2 082 ,  320 ,  4 ,  25 ,N.A. ,N.A. ,N.A. ,  142 , 4 285
Quintana Roo ,  858 , 1 212 ,  319 ,N.A. ,N.A. ,N.A. ,  37 ,  2 ,N.A. , 2 428
San Luis Potosí , 4 107 , 4 132 ,  843 ,  795 ,N.A. ,  6 ,  76 ,N.A. ,  174 , 10 133
Sinaloa , 6 677 , 5 014 ,  551 ,  222 ,  502 ,  9 ,  269 ,  47 , 1 775 , 15 066
Sonora , 1 845 , 5 435 ,  588 ,  96 ,N.A. ,N.A. ,  101 ,  10 ,  191 , 8 266
Tabasco , 4 077 , 1 643 ,  487 ,N.A. ,N.A. ,  415 ,  66 ,  33 , 1 754 , 8 475
Tamaulipas , 5 849 , 6 475 , 1 841 ,  277 ,  2 ,  207 ,  38 ,  1 ,  108 , 14 798
Tlaxcala , 1 536 , 1 230 ,  631 ,  6 ,  28 ,N.A. ,  1 ,N.A. ,  43 , 3 475
Veracruz , 9 520 , 9 104 ,  474 , 1 670 ,  511 ,  436 ,  179 ,  241 ,N.A. , 22 135
Yucatán , 2 346 , 4 601 , 1 037 ,  765 ,  13 ,N.A. ,  0 ,  1 ,  494 , 9 257
Zacatecas , 1 832 , 1 171 ,  349 ,  503 ,  167 ,N.A. ,  1 ,N.A. ,  73 , 4 096
TOTAL GLOBAL , 139 889 , 151 657 , 53 012 , 10 622 , 8 591 , 1 612 , 4 435 ,  809 , 34 143 , 404 770
