Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras ,Total
Aguascalientes ,1 070 ,580 ,95 ,N.A. ,10 ,N.A. ,109 ,N.A. ,295 ,2 159
Baja California ,2 495 ,3 320 ,333 ,38 ,N.A. ,N.A. ,42 ,2 ,439 ,6 669
Baja California Sur ,629 ,579 ,142 ,N.A. ,N.A. ,N.A. ,6 ,2 ,N.A. ,1 358
Campeche ,811 ,528 ,159 ,114 ,18 ,0 ,3 ,15 ,0 ,1 648
Coahuila ,896 ,4 539 ,1 649 ,236 ,67 ,N.A. ,17 ,N.A. ,916 ,8 320
Colima ,548 ,612 ,24 ,N.A. ,5 ,N.A. ,7 ,45 ,53 ,1 294
Chiapas ,3 480 ,2 481 ,1 162 ,640 ,N.A. ,39 ,68 ,1 ,235 ,8 106
Chihuahua ,2 107 ,4 651 ,423 ,107 ,N.A. ,N.A. ,100 ,N.A. ,1 946 ,9 334
Distrito Federal ,9 499 ,5 076 ,6 668 ,130 ,194 ,49 ,722 ,177 ,536 ,23 051
Durango ,799 ,2 169 ,977 ,259 ,0 ,N.A. ,29 ,N.A. ,143 ,4 376
Guanajuato ,4 582 ,3 553 ,487 ,22 ,N.A. ,12 ,40 ,N.A. ,400 ,9 096
Guerrero ,4 553 ,2 708 ,1 177 ,30 ,N.A. ,N.A. ,54 ,1 ,0 ,8 523
Hidalgo ,2 063 ,736 ,563 ,319 ,0 ,67 ,14 ,N.A. ,105 ,3 867
Jalisco ,5 635 ,7 022 ,1 774 ,12 ,210 ,3 ,70 ,13 ,5 549 ,20 288
México ,11 971 ,9 885 ,1 875 ,8 ,3 922 ,N.A. ,484 ,N.A. ,2 032 ,30 177
Michoacán ,2 504 ,1 930 ,2 501 ,666 ,N.A. ,N.A. ,0 ,20 ,N.A. ,7 621
Morelos ,1 739 ,3 177 ,1 712 ,3 ,N.A. ,N.A. ,154 ,N.A. ,N.A. ,6 785
Nayarit ,892 ,283 ,766 ,90 ,94 ,N.A. ,0 ,0 ,23 ,2 148
Nuevo León ,2 097 ,4 166 ,160 ,5 ,1 ,27 ,63 ,N.A. ,2 891 ,9 410
Oaxaca ,3 330 ,1 223 ,1 425 ,977 ,82 ,59 ,83 ,51 ,57 ,7 287
Puebla ,2 672 ,4 375 ,1 583 ,643 ,120 ,6 ,9 ,N.A. ,732 ,10 140
Querétaro ,1 117 ,1 172 ,176 ,3 ,14 ,N.A. ,N.A. ,N.A. ,88 ,2 570
Quintana Roo ,538 ,649 ,190 ,N.A. ,N.A. ,N.A. ,23 ,2 ,N.A. ,1 402
San Luis Potosí ,2 712 ,2 539 ,502 ,530 ,N.A. ,3 ,38 ,N.A. ,100 ,6 424
Sinaloa ,4 215 ,2 869 ,289 ,147 ,300 ,2 ,148 ,23 ,1 056 ,9 049
Sonora ,1 188 ,3 205 ,351 ,86 ,N.A. ,N.A. ,76 ,8 ,113 ,5 027
Tabasco ,2 627 ,893 ,276 ,N.A. ,N.A. ,210 ,37 ,25 ,996 ,5 064
Tamaulipas ,3 877 ,3 799 ,1 092 ,181 ,2 ,117 ,26 ,0 ,69 ,9 163
Tlaxcala ,971 ,713 ,336 ,6 ,15 ,N.A. ,1 ,N.A. ,18 ,2 060
Veracruz ,6 494 ,5 341 ,259 ,1 188 ,330 ,219 ,136 ,164 ,N.A. ,14 131
Yucatán ,1 612 ,2 765 ,588 ,532 ,10 ,N.A. ,0 ,1 ,94 ,5 602
Zacatecas ,1 156 ,712 ,196 ,328 ,122 ,N.A. ,1 ,N.A. ,38 ,2 553
TOTAL GLOBAL ,90 879 ,88 250 ,29 910 ,7 300 ,5 516 ,813 ,2 560 ,550 ,18 924 ,244 702
