Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes , 2 209 , 1 776 ,  273 ,  0 ,  0 ,  0 ,  20 ,  0 ,  109 , 4 387
Baja California , 4 337 , 6 581 ,  567 ,  25 ,  0 ,  0 ,  61 ,  5 ,  908 , 12 484
Baja California Sur ,  690 ,  915 ,  154 ,  0 ,  0 ,  0 ,  191 ,  0 ,  0 , 1 950
Campeche , 1 455 ,  661 ,  317 ,  142 ,  50 ,  5 ,  187 ,  59 ,  521 , 3 397
Coahuila , 2 128 , 7 585 , 5 528 ,  339 ,  0 ,  0 ,  20 ,  0 ,  820 , 16 420
Colima , 1 069 ,  981 ,  45 ,  0 ,  3 ,  0 ,  3 ,  17 ,  61 , 2 179
Chiapas , 5 866 , 2 968 , 2 587 ,  905 ,  0 ,  150 ,  286 ,  5 ,  529 , 13 296
Chihuahua , 2 021 , 6 568 ,  472 ,  251 ,  0 ,  0 ,  60 ,  0 , 3 020 , 12 392
Distrito Federal , 16 818 , 7 900 , 13 489 ,  0 ,  324 ,  175 , 1 000 ,  55 ,  841 , 40 602
Durango , 2 770 , 3 785 , 5 646 ,  282 ,  0 ,  0 ,  66 ,  0 ,  144 , 12 693
Guanajuato , 8 370 , 8 445 ,  992 ,  49 ,  0 ,  29 ,  93 ,  0 ,  842 , 18 820
Guerrero , 7 496 , 3 375 , 2 599 ,  110 ,  0 ,  0 ,  12 ,  172 ,  0 , 13 764
Hidalgo , 3 170 , 1 379 ,  586 ,  606 ,  0 ,  50 ,  78 ,  0 ,  111 , 5 980
Jalisco , 7 501 , 15 482 ,  834 ,  96 ,  238 ,  25 ,  145 ,  5 , 9 500 , 33 826
México , 15 595 , 13 460 , 5 065 ,  15 , 4 896 ,  364 ,  648 ,  0 , 4 977 , 45 020
Michoacán , 4 652 , 2 606 , 1 239 ,  583 ,  0 ,  0 ,  104 ,  20 ,  0 , 9 204
Morelos , 2 879 , 3 472 , 3 415 ,  16 ,  0 ,  0 ,  200 ,  0 ,  0 , 9 982
Nayarit , 1 351 , 1 011 , 1 477 ,  117 ,  176 ,  0 ,  6 ,  0 ,  28 , 4 166
Nuevo León , 2 815 , 5 428 ,  475 ,  0 ,  0 ,  58 ,  153 ,  0 , 4 587 , 13 516
Oaxaca , 5 258 , 1 826 , 2 092 , 1 148 ,  55 ,  105 ,  271 ,  81 ,  224 , 11 060
Puebla , 5 146 , 10 075 , 2 965 ,  796 ,  124 ,  11 ,  24 ,  0 , 1 509 , 20 650
Querétaro , 1 912 , 2 292 ,  162 ,  6 ,  6 ,  0 ,  0 ,  0 ,  91 , 4 469
Quintana Roo ,  667 ,  413 ,  460 ,  0 ,  0 ,  0 ,  33 ,  0 ,  0 , 1 573
San Luis Potosí , 4 349 , 4 824 , 1 215 ,  758 ,  0 ,  0 ,  447 ,  0 ,  138 , 11 731
Sinaloa , 4 825 , 3 949 ,  487 ,  183 ,  617 ,  10 ,  389 ,  167 , 1 889 , 12 516
Sonora , 4 150 , 4 348 ,  771 ,  64 ,  0 ,  0 ,  176 ,  54 ,  84 , 9 647
Tabasco , 3 939 , 1 177 ,  418 ,  0 ,  0 ,  250 ,  138 ,  20 , 1 034 , 6 976
Tamaulipas , 4 839 , 5 575 , 1 155 ,  202 ,  10 ,  227 ,  162 ,  1 ,  162 , 12 333
Tlaxcala , 1 591 , 1 196 ,  506 ,  0 ,  2 ,  0 ,  189 ,  0 ,  0 , 3 484
Veracruz , 8 503 , 4 791 ,  615 , 1 955 ,  422 ,  486 ,  234 ,  115 ,  0 , 17 121
Yucatán , 2 303 , 2 779 , 1 472 ,  769 ,  3 ,  0 ,  14 ,  0 ,  554 , 7 894
Zacatecas , 1 707 , 1 225 ,  349 ,  464 ,  100 ,  0 ,  9 ,  0 ,  1 , 3 855
