Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,3506 ,1277 ,878 ,0 ,0 ,0 ,0 ,0 ,130 ,5791
Baja California ,2816 ,8815 ,586 ,31 ,0 ,0 ,25 ,0 ,488 ,12761
Baja California Sur ,661 ,1179 ,314 ,0 ,0 ,0 ,18 ,22 ,0 ,2194
Campeche ,1223 ,446 ,370 ,124 ,35 ,14 ,69 ,92 ,32 ,2405
Coahuila ,1764 ,8928 ,4495 ,243 ,0 ,0 ,0 ,0 ,1304 ,16734
Colima ,814 ,840 ,42 ,0 ,2 ,0 ,18 ,5 ,26 ,1747
Chiapas ,4449 ,4611 ,1587 ,925 ,0 ,12 ,286 ,10 ,483 ,12363
Chihuahua ,1760 ,10408 ,607 ,146 ,0 ,0 ,0 ,0 ,1700 ,14621
Distrito Federal ,15788 ,7513 ,13116 ,0 ,133 ,234 ,1354 ,109 ,1716 ,39963
Durango ,2180 ,4339 ,3352 ,277 ,0 ,0 ,57 ,0 ,41 ,10246
Guanajuato ,5831 ,11943 ,1011 ,0 ,0 ,52 ,49 ,0 ,179 ,19065
Guerrero ,6545 ,4015 ,3836 ,0 ,0 ,0 ,72 ,245 ,0 ,14713
Hidalgo ,3027 ,1378 ,568 ,456 ,0 ,39 ,24 ,0 ,212 ,5704
Jalisco ,7687 ,18509 ,942 ,0 ,267 ,64 ,296 ,0 ,9477 ,37242
México ,13863 ,14856 ,5282 ,0 ,4008 ,224 ,1294 ,0 ,5114 ,44641
Michoacán ,4530 ,2616 ,1373 ,745 ,0 ,0 ,0 ,21 ,0 ,9285
Morelos ,2744 ,3697 ,3957 ,0 ,0 ,0 ,0 ,0 ,0 ,10398
Nayarit ,1268 ,1133 ,1602 ,154 ,204 ,0 ,35 ,1 ,36 ,4433
Nuevo León ,4340 ,5225 ,573 ,0 ,0 ,25 ,85 ,0 ,3815 ,14063
Oaxaca ,3463 ,1794 ,2226 ,1056 ,0 ,116 ,422 ,77 ,88 ,9242
Puebla ,5431 ,9041 ,2774 ,576 ,49 ,6 ,24 ,0 ,1798 ,19699
Querétaro ,2174 ,3082 ,160 ,0 ,6 ,0 ,0 ,0 ,65 ,5487
Quintana Roo ,718 ,352 ,429 ,0 ,0 ,0 ,26 ,5 ,0 ,1530
San Luis Potosí ,3454 ,5542 ,966 ,709 ,0 ,1 ,306 ,0 ,29 ,11007
Sinaloa ,3333 ,5136 ,399 ,134 ,633 ,30 ,397 ,80 ,2412 ,12554
Sonora ,3687 ,5133 ,250 ,13 ,0 ,0 ,238 ,30 ,1384 ,10735
Tabasco ,3703 ,2247 ,323 ,0 ,0 ,140 ,164 ,9 ,626 ,7212
Tamaulipas ,4601 ,7682 ,1480 ,536 ,0 ,190 ,35 ,4 ,42 ,14570
Tlaxcala ,1320 ,1175 ,393 ,0 ,0 ,0 ,61 ,0 ,3 ,2952
Veracruz ,7850 ,6340 ,674 ,1675 ,242 ,505 ,160 ,50 ,0 ,17496
Yucatán ,1962 ,5244 ,517 ,695 ,11 ,0 ,4 ,1 ,577 ,9011
Zacatecas ,1515 ,2268 ,348 ,461 ,78 ,0 ,20 ,0 ,8 ,4698
TOTAL GLOBAL ,128007 ,166764 ,55430 ,8956 ,5668 ,1652 ,5539 ,761 ,31785 ,404562
