Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,  715 ,  723 ,  127 ,  0 ,  0 ,  0 ,  4 ,  0 ,  49 , 1 618
Baja California , 1 741 , 2 883 ,  252 ,  12 ,  0 ,  0 ,  20 ,  2 ,  403 , 5 313
Baja California Sur ,  291 ,  408 ,  66 ,  0 ,  0 ,  0 ,  92 ,  0 ,  0 ,  857
Campeche ,  454 ,  303 ,  123 ,  50 ,  12 ,  3 ,  64 ,  18 ,  271 , 1 298
Coahuila ,  677 , 2 831 , 2 404 ,  119 ,  0 ,  0 ,  7 ,  0 ,  339 , 6 377
Colima ,  456 ,  425 ,  22 ,  0 ,  3 ,  0 ,  0 ,  7 ,  35 ,  948
Chiapas , 1 817 , 1 141 , 1 050 ,  265 ,  0 ,  96 ,  103 ,  2 ,  231 , 4 705
Chihuahua ,  698 , 2 430 ,  162 ,  63 ,  0 ,  0 ,  22 ,  0 , 1 100 , 4 475
Distrito Federal , 6 182 , 3 281 , 5 735 ,  0 ,  114 ,  76 ,  345 ,  23 ,  373 , 16 129
Durango ,  959 , 1 372 , 2 536 ,  95 ,  0 ,  0 ,  16 ,  0 ,  64 , 5 042
Guanajuato , 2 707 , 3 329 ,  509 ,  14 ,  0 ,  16 ,  38 ,  0 ,  312 , 6 925
Guerrero , 2 504 , 1 390 , 1 077 ,  29 ,  0 ,  0 ,  5 ,  55 ,  0 , 5 060
Hidalgo , 1 064 ,  652 ,  290 ,  189 ,  0 ,  21 ,  34 ,  0 ,  54 , 2 304
Jalisco , 2 707 , 6 583 ,  321 ,  24 ,  73 ,  10 ,  71 ,  3 , 3 720 , 13 512
México , 5 049 , 5 368 , 2 151 ,  3 , 1 764 ,  173 ,  293 ,  0 , 2 474 , 17 275
Michoacán , 1 650 , 1 125 ,  536 ,  188 ,  0 ,  0 ,  44 ,  7 ,  0 , 3 550
Morelos , 1 032 , 1 319 , 1 551 ,  5 ,  0 ,  0 ,  57 ,  0 ,  0 , 3 964
Nayarit ,  540 ,  409 ,  630 ,  37 ,  69 ,  0 ,  2 ,  0 ,  17 , 1 704
Nuevo León , 1 005 , 2 171 ,  213 ,  0 ,  0 ,  29 ,  57 ,  0 , 1 905 , 5 380
Oaxaca , 1 621 ,  730 , 1 033 ,  359 ,  26 ,  50 ,  93 ,  25 ,  101 , 4 038
Puebla , 1 738 , 3 952 , 1 291 ,  238 ,  39 ,  5 ,  11 ,  0 ,  662 , 7 936
Querétaro ,  606 ,  961 ,  64 ,  3 ,  3 ,  0 ,  0 ,  0 ,  37 , 1 674
Quintana Roo ,  193 ,  189 ,  197 ,  0 ,  0 ,  0 ,  9 ,  0 ,  0 ,  588
San Luis Potosí , 1 470 , 1 877 ,  468 ,  263 ,  0 ,  0 ,  209 ,  0 ,  60 , 4 347
Sinaloa , 1 763 , 1 750 ,  199 ,  72 ,  252 ,  4 ,  192 ,  75 ,  763 , 5 070
Sonora , 1 403 , 1 673 ,  290 ,  16 ,  0 ,  0 ,  51 ,  14 ,  38 , 3 485
Tabasco , 1 349 ,  534 ,  181 ,  0 ,  0 ,  130 ,  46 ,  1 ,  488 , 2 729
Tamaulipas , 1 599 , 2 179 ,  541 ,  78 ,  1 ,  102 ,  64 ,  0 ,  70 , 4 634
Tlaxcala ,  560 ,  487 ,  227 ,  0 ,  0 ,  0 ,  80 ,  0 ,  0 , 1 354
Veracruz , 2 692 , 1 973 ,  250 ,  541 ,  127 ,  224 ,  65 ,  53 ,  0 , 5 925
Yucatán ,  679 , 1 036 ,  621 ,  189 ,  0 ,  0 ,  4 ,  0 ,  434 , 2 963
Zacatecas ,  573 ,  521 ,  147 ,  163 ,  34 ,  0 ,  3 ,  0 ,  1 , 1 442
TOTAL GLOBAL , 48 494 , 56 005 , 25 264 , 3 015 , 2 517 ,  939 , 2 101 ,  285 , 14 001 , 152 621
