"",Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras,""
Aguascalientes , 1 121 , 1 106 ,  772 ,S.R. ,  7 ,S.R. ,  0 ,S.R. ,  977 , 3 983
Baja California , 3 138 , 4 263 ,  681 ,  56 ,S.R. ,S.R. ,  4 ,  44 , 1 748 , 9 934
Baja California Sur ,  470 ,  542 ,  106 ,S.R. ,S.R. ,S.R. ,  3 ,  0 ,S.R. , 1 121
Campeche ,  595 ,  243 ,  146 ,  173 ,  0 ,  36 ,  0 ,  22 ,  2 , 1 217
Coahuila ,  776 , 2 684 , 1 499 ,  195 ,  235 ,S.R. ,  26 ,S.R. ,  937 , 6 352
Colima ,  396 ,  432 ,  28 ,S.R. ,  6 ,S.R. ,  2 ,  14 ,  26 ,  904
Chiapas , 3 397 , 1 886 , 1 067 ,  860 ,S.R. ,  8 ,  0 ,  16 ,  128 , 7 362
Chihuahua , 2 748 , 2 922 ,  678 ,  191 ,S.R. ,S.R. ,  5 ,S.R. , 2 063 , 8 607
Distrito Federal , 6 686 , 3 355 , 3 554 ,  53 ,  100 ,  116 ,  94 ,  56 ,  860 , 14 874
Durango ,  704 , 1 423 , 1 564 ,  246 ,  0 ,S.R. ,  66 ,  0 ,  337 , 4 340
Guanajuato , 3 972 , 2 812 ,  419 ,  68 ,S.R. ,  79 ,  40 ,S.R. ,  524 , 7 914
Guerrero , 5 359 , 1 434 , 1 326 ,  146 ,S.R. ,S.R. ,  21 ,  59 ,  0 , 8 345
Hidalgo , 3 159 , 1 019 ,  710 ,  487 ,  0 ,  41 ,  0 ,S.R. ,  26 , 5 442
Jalisco , 3 934 , 4 666 , 2 035 ,  30 ,  119 ,  11 ,  13 ,  0 , 4 251 , 15 059
México , 16 830 , 5 928 , 3 335 ,  74 , 2 462 ,S.R. ,  104 ,S.R. , 3 845 , 32 578
Michoacán , 2 406 , 1 890 , 2 135 ,  704 ,S.R. ,S.R. ,  0 ,  30 ,S.R. , 7 165
Morelos , 1 521 , 2 729 , 2 174 ,  22 ,S.R. ,S.R. ,  32 ,S.R. ,S.R. , 6 478
Nayarit ,  554 ,  554 ,  888 ,  93 ,  27 ,S.R. ,  0 ,  0 ,  28 , 2 144
Nuevo León , 2 034 , 4 840 ,  235 ,  10 ,S.R. ,  52 ,  4 ,S.R. , 1 720 , 8 895
Oaxaca , 3 676 ,  849 , 1 217 , 1 248 ,  111 ,  109 ,  2 ,  10 ,  78 , 7 300
Puebla , 3 353 , 2 504 ,  655 ,  679 ,  46 ,  28 ,  0 ,S.R. ,  842 , 8 107
Querétaro , 1 538 ,  914 ,  173 ,  4 ,  7 ,S.R. ,  7 ,S.R. ,  190 , 2 833
Quintana Roo , 1 043 ,  786 ,  203 ,S.R. ,S.R. ,S.R. ,  0 ,  2 ,  0 , 2 034
San Luis Potosí , 1 895 , 2 577 , 1 195 ,  660 ,S.R. ,  7 ,  9 ,S.R. ,  232 , 6 575
Sinaloa , 6 193 , 2 418 ,  491 ,  223 ,  140 ,  5 ,  15 ,  22 , 1 013 , 10 520
Sonora , 1 467 , 3 360 ,  631 ,  7 ,S.R. ,S.R. ,  48 ,  1 ,  226 , 5 740
Tabasco , 1 864 , 1 226 ,  616 ,S.R. ,S.R. ,  191 ,  10 ,  3 ,  497 , 4 407
Tamaulipas , 2 526 , 2 785 , 2 026 ,  206 ,  0 ,  194 ,  0 ,  41 ,  158 , 7 936
Tlaxcala ,  780 ,  787 ,  424 ,  20 ,  59 ,S.R. ,  8 ,S.R. ,  0 , 2 078
Veracruz , 4 118 , 5 735 , 2 697 , 1 688 ,  93 ,  425 ,  193 ,  85 ,  18 , 15 052
Yucatán ,  998 , 1 025 ,  765 ,  405 ,  8 ,S.R. ,  0 ,  0 ,  23 , 3 224
Zacatecas ,  883 ,  806 ,  155 ,  394 ,  82 ,S.R. ,  10 ,S.R. ,  122 , 2 452
TOTAL GLOBAL , 90 134 , 70 500 , 34 600 , 8 942 , 3 502 , 1 302 ,  716 ,  405 , 20 871 , 230 972
